family,mean size observed in surveys,nb. surveys observed,max importance,mean importance,max MaxLength,nb. species,target
Acanthuridae,17.5,5689,commercial,commercial,100,67,targeted
Ambassidae,5,1,NA,NA,7,1,untargeted
Aplodactylidae,27.2,70,NA,NA,45,2,untargeted
Arripidae,45.4,4,NA,NA,85,1,untargeted
Atherinidae,6.3,25,subsistence fisheries,subsistence fisheries,20,2,targeted
Aulopidae,31.9,4,NA,NA,60,1,untargeted
Aulostomidae,39.9,911,minor commercial,minor commercial,100,3,targeted>20cm
Balistidae,18,2809,commercial,minor commercial,100,27,targeted>20cm
Batrachoididae,15,1,minor commercial,minor commercial,40,1,targeted>20cm
Belonidae,55.9,36,commercial,commercial,150,4,targeted
Bothidae,21.7,31,commercial,commercial,51,5,targeted
Caesionidae,17.2,1976,commercial,minor commercial,60,18,targeted>20cm
Callanthiidae,7.5,1,NA,NA,49,1,untargeted
Caracanthidae,5,8,NA,NA,5,2,untargeted
Carangidae,35,1766,highly commercial,commercial,250,54,targeted
Centriscidae,11,9,of no interest,of no interest,15,1,untargeted
Centropomidae,50,1,commercial,commercial,140,1,targeted
Chaetodontidae,10.8,6225,minor commercial,minor commercial,30,93,targeted>20cm
Chanidae,63.9,11,highly commercial,highly commercial,180,1,targeted
Cheilodactylidae,26.3,260,commercial,commercial,100,8,targeted
Chironemidae,14,5,NA,NA,40,2,untargeted
Cirrhitidae,8.7,2477,commercial,of no interest,60,20,untargeted
Clupeidae,9.3,14,highly commercial,highly commercial,41,4,targeted
Dinolestidae,20,1,NA,NA,84,1,untargeted
Diodontidae,26.2,337,minor commercial,of no interest,91,8,untargeted
Echeneidae,23.8,129,commercial,commercial,110,3,targeted
Elopidae,35,1,minor commercial,minor commercial,91,1,targeted>20cm
Engraulidae,6.2,1,minor commercial,minor commercial,15,1,untargeted
Enoplosidae,14.5,11,minor commercial,minor commercial,50,1,targeted>20cm
Ephippidae,35.6,311,minor commercial,minor commercial,91,8,targeted>20cm
Fistulariidae,59.2,318,minor commercial,minor commercial,200,3,targeted>20cm
Gerreidae,13,53,commercial,minor commercial,44.5,6,targeted>20cm
Glaucosomatidae,27,36,commercial,commercial,122,2,targeted
Haemulidae,30.2,1958,commercial,minor commercial,100,48,targeted>20cm
Hemiramphidae,18.8,4,commercial,commercial,45,4,targeted
Holocentridae,18.3,2881,commercial,minor commercial,61,36,targeted>20cm
Inermiidae,13.8,5,minor commercial,minor commercial,23,1,targeted>20cm
Kuhliidae,13.9,3,minor commercial,minor commercial,40,1,targeted>20cm
Kyphosidae,26.4,992,commercial,commercial,80,23,targeted
Labridae,11.2,6916,commercial,minor commercial,229,234,targeted>20cm
Latidae,26.4,160,commercial,commercial,47,1,targeted
Latridae,30.5,5,NA,NA,NA,NA,untargeted
Lethrinidae,23.6,2525,highly commercial,minor commercial,100,27,targeted>20cm
Lutjanidae,25.9,4047,highly commercial,commercial,170,51,targeted
Malacanthidae,22.6,87,commercial,commercial,102,6,targeted
Megalopidae,137.5,1,commercial,commercial,250,1,targeted
Microdesmidae,7.1,1003,of no interest,of no interest,15,13,untargeted
Molidae,162.5,1,minor commercial,minor commercial,333,1,targeted>20cm
Monacanthidae,10.9,1666,minor commercial,minor commercial,110,28,targeted>20cm
Monocentridae,15,1,of no interest,of no interest,22,1,untargeted
Monodactylidae,12,46,minor commercial,minor commercial,27,3,targeted>20cm
Moronidae,16.2,2,commercial,commercial,103,1,targeted
Mugilidae,28.7,30,highly commercial,commercial,100,7,targeted
Mullidae,16.7,3940,commercial,commercial,60,28,targeted
Nemipteridae,15.9,2799,commercial,subsistence fisheries,38,21,targeted
Odacidae,16.1,8,of no interest,of no interest,35,2,untargeted
Ogcocephalidae,20,1,of no interest,of no interest,20,1,untargeted
Oplegnathidae,40,11,NA,NA,66,1,untargeted
Ostraciidae,12.1,827,commercial,of no interest,55,15,untargeted
Pempheridae,12.3,580,minor commercial,minor commercial,28,16,targeted>20cm
Pentacerotidae,14.2,3,commercial,commercial,90,1,targeted
Percophidae,5,1,NA,NA,8,1,untargeted
Pinguipedidae,11.5,1279,minor commercial,minor commercial,29,16,targeted>20cm
Platycephalidae,38.7,11,commercial,commercial,120,2,targeted
Plotosidae,21.9,125,commercial,commercial,111,5,targeted
Pomacanthidae,14.6,4913,commercial,minor commercial,60,44,targeted>20cm
Pomacentridae,7.4,6882,highly commercial,of no interest,31,264,untargeted
Pomatomidae,37.5,2,highly commercial,highly commercial,130,1,targeted
Priacanthidae,22.4,183,minor commercial,minor commercial,50,4,targeted>20cm
Rachycentridae,75,1,minor commercial,minor commercial,200,1,targeted>20cm
Scaridae,21.8,6066,commercial,commercial,130,75,targeted
Sciaenidae,15.2,101,commercial,minor commercial,181,9,targeted>20cm
Scombridae,57,143,highly commercial,minor commercial,250,18,targeted>20cm
Scorpaenidae,16.7,323,commercial,commercial,45,32,targeted
Serranidae,23.5,5629,highly commercial,minor commercial,270,143,targeted>20cm
Siganidae,20.4,2226,commercial,commercial,53,21,targeted
Sillaginidae,28.3,9,highly commercial,highly commercial,51,2,targeted
Sparidae,20.1,332,highly commercial,commercial,130,28,targeted
Sphyraenidae,41.2,201,commercial,commercial,200,9,targeted
Synanceiidae,22.9,4,minor commercial,minor commercial,60,4,targeted>20cm
Synodontidae,13.2,1135,commercial,commercial,50,16,targeted
Terapontidae,13.5,5,minor commercial,minor commercial,30,2,targeted>20cm
Tetraodontidae,10.6,2811,commercial,of no interest,120,32,untargeted
Zanclidae,17.2,2146,subsistence fisheries,subsistence fisheries,23,1,targeted
